Event,Team,PitStopCount,AvgPitDuration
Belgium,Red Bull Racing,4,23.07
Belgium,Williams,6,23.814833333333336
Netherlands,Alfa Romeo,9,271.4482222222222
Netherlands,AlphaTauri,12,400.06316666666663
Netherlands,Alpine,11,449.9309999999999
Netherlands,Aston Martin,12,412.3155833333333
Netherlands,Ferrari,7,368.96671428571426
Netherlands,Haas F1 Team,11,420.0635454545455
Netherlands,McLaren,11,437.9580909090909
Netherlands,Mercedes,12,413.60975
Netherlands,Red Bull Racing,12,201.96383333333335
Netherlands,Williams,4,595.747
Italy,Alfa Romeo,3,24.989333333333335
Italy,AlphaTauri,2,24.3435
Italy,Alpine,3,25.427333333333333
Italy,Aston Martin,2,25.2575
Italy,Ferrari,2,24.531
Italy,Haas F1 Team,4,24.96875
Italy,McLaren,3,26.546666666666667
Italy,Mercedes,2,24.1875
Italy,Red Bull Racing,2,24.061999999999998
Italy,Williams,2,24.523
Singapore,Alfa Romeo,3,30.395666666666667
Singapore,AlphaTauri,1,32.328
Singapore,Alpine,2,30.765500000000003
Singapore,Aston Martin,2,41.6165
Singapore,Ferrari,2,31.211
Singapore,Haas F1 Team,3,33.291333333333334
Singapore,McLaren,2,29.367
Singapore,Mercedes,4,31.54675
Singapore,Red Bull Racing,2,29.3275
Singapore,Williams,4,38.609
Japan,Alfa Romeo,6,15.546333333333335
Japan,AlphaTauri,4,23.167749999999998
Japan,Alpine,4,24.9095
Japan,Aston Martin,3,23.849
Japan,Ferrari,4,23.0305
Japan,Haas F1 Team,5,23.5776
Japan,McLaren,4,23.55
Japan,Mercedes,3,24.099
Japan,Red Bull Racing,7,-35.671285714285716
Japan,Williams,6,18.611833333333337
United States,Alfa Romeo,4,25.062
United States,AlphaTauri,5,24.5682
United States,Alpine,2,24.413
United States,Aston Martin,4,24.5935
United States,Ferrari,3,23.812
United States,Haas F1 Team,4,25.199
United States,McLaren,2,23.7575
United States,Mercedes,4,24.515
United States,Red Bull Racing,4,24.19525
United States,Williams,4,24.84725
Mexico,Alfa Romeo,4,626.38725
Mexico,AlphaTauri,4,621.8915
Mexico,Alpine,3,824.8860000000001
Mexico,Aston Martin,4,626.25475
Mexico,Ferrari,4,617.54775
Mexico,Haas F1 Team,3,422.17499999999995
Mexico,McLaren,5,232.9178
Mexico,Mercedes,4,618.86775
Mexico,Red Bull Racing,3,-35.666333333333334
Mexico,Williams,4,287.94775
Brazil,Alfa Romeo,6,-25.986499999999996
Brazil,AlphaTauri,8,183.85912499999998
Brazil,Alpine,9,-8.975666666666665
Brazil,Aston Martin,8,-13.91825
Brazil,Ferrari,4,-12.6795
Brazil,Haas F1 Team,4,-7.078249999999998
Brazil,McLaren,8,184.19699999999997
Brazil,Mercedes,8,-13.968625
Brazil,Red Bull Racing,8,-14.322000000000001
Brazil,Williams,4,-10.19175
Abu Dhabi,Alfa Romeo,3,22.604
Abu Dhabi,AlphaTauri,3,21.640666666666664
Abu Dhabi,Alpine,3,22.843666666666667
Abu Dhabi,Aston Martin,4,21.906
Abu Dhabi,Ferrari,5,-0.6185999999999978
Abu Dhabi,Haas F1 Team,4,22.21075
Abu Dhabi,McLaren,4,22.109
Abu Dhabi,Mercedes,4,22.03475
Abu Dhabi,Red Bull Racing,4,21.378500000000003
Abu Dhabi,Williams,4,22.06575
