Event,Team,Driver,PitStopCount,AvgPitDuration,TotalPitDuration,MostFrequentCompound,AvgTyreLife,AvgLapTime
Azerbaijan,Aston Martin,ALO,1,23.156,23.156,MEDIUM,11.0,148.557
Azerbaijan,Alfa Romeo,BOT,3,21.489333333333335,64.468,HARD,11.333333333333334,119.40533333333333
Azerbaijan,Alpine,GAS,2,20.7185,41.437,HARD,11.5,112.68
Azerbaijan,Mercedes,HAM,1,20.313,20.313,MEDIUM,9.0,113.178
Azerbaijan,Haas F1 Team,HUL,1,24.687,24.687,HARD,49.0,113.182
Azerbaijan,Ferrari,LEC,1,20.968,20.968,MEDIUM,11.0,144.96
Azerbaijan,Haas F1 Team,MAG,1,30.937,30.937,MEDIUM,10.0,122.819
Azerbaijan,McLaren,NOR,1,20.359,20.359,MEDIUM,9.0,112.343
Azerbaijan,Alpine,OCO,1,20.359,20.359,HARD,50.0,110.932
Azerbaijan,Red Bull Racing,PER,1,20.484,20.484,MEDIUM,11.0,142.994
Azerbaijan,McLaren,PIA,1,20.969,20.969,MEDIUM,8.0,112.245
Azerbaijan,Mercedes,RUS,2,20.898000000000003,41.79600000000001,HARD,24.5,112.152
Azerbaijan,Ferrari,SAI,1,21.952,21.952,MEDIUM,11.0,
Azerbaijan,Williams,SAR,1,21.062,21.062,MEDIUM,8.0,114.13
Azerbaijan,Aston Martin,STR,1,23.14,23.14,MEDIUM,11.0,
Azerbaijan,AlphaTauri,TSU,1,20.484,20.484,MEDIUM,8.0,112.849
Azerbaijan,Red Bull Racing,VER,1,20.749,20.749,MEDIUM,10.0,110.778
Azerbaijan,Alfa Romeo,ZHO,1,22.218,22.218,HARD,18.0,113.661
Miami,Williams,ALB,1,22.437,22.437,MEDIUM,22.0,99.058
Miami,Aston Martin,ALO,1,22.688,22.688,MEDIUM,25.0,97.282
Miami,Alfa Romeo,BOT,1,23.234,23.234,MEDIUM,15.0,99.631
Miami,AlphaTauri,DEV,1,23.594,23.594,MEDIUM,15.0,98.808
Miami,Alpine,GAS,1,22.453,22.453,MEDIUM,15.0,98.406
Miami,Mercedes,HAM,1,22.187,22.187,HARD,37.0,97.819
Miami,Haas F1 Team,HUL,1,23.219,23.219,HARD,33.0,100.557
Miami,Ferrari,LEC,1,22.047,22.047,MEDIUM,17.0,97.645
Miami,Haas F1 Team,MAG,1,22.578,22.578,MEDIUM,14.0,98.728
Miami,McLaren,NOR,1,24.077,24.077,SOFT,4.0,98.826
Miami,Alpine,OCO,1,21.937,21.937,HARD,39.0,97.507
Miami,Red Bull Racing,PER,1,21.906,21.906,MEDIUM,20.0,97.863
Miami,McLaren,PIA,1,22.265,22.265,SOFT,5.0,98.967
Miami,Mercedes,RUS,1,22.329,22.329,MEDIUM,17.0,97.609
Miami,Ferrari,SAI,1,22.281,22.281,MEDIUM,18.0,97.311
Miami,Williams,SAR,1,48.906,48.906,MEDIUM,2.0,101.093
Miami,Aston Martin,STR,1,22.594,22.594,HARD,43.0,97.256
Miami,AlphaTauri,TSU,1,22.25,22.25,HARD,36.0,97.007
Miami,Red Bull Racing,VER,1,22.687,22.687,HARD,45.0,95.856
Miami,Alfa Romeo,ZHO,1,22.75,22.75,HARD,31.0,97.61
Emilia Romagna,Williams,ALB,3,24.057333333333332,72.172,MEDIUM,11.0,118.51833333333333
Emilia Romagna,Aston Martin,ALO,2,23.4685,46.937,MEDIUM,14.5,118.11
Emilia Romagna,Alfa Romeo,BOT,2,23.6015,47.203,MEDIUM,12.0,119.0795
Emilia Romagna,Alpine,GAS,1,25.656,25.656,SOFT,23.0,121.28
Emilia Romagna,Mercedes,HAM,3,23.098666666666663,69.29599999999999,SOFT,14.0,116.48933333333333
Emilia Romagna,Haas F1 Team,HUL,2,24.836,49.672,MEDIUM,12.0,118.3135
Emilia Romagna,Ferrari,LEC,2,23.195,46.39,MEDIUM,14.0,116.719
Emilia Romagna,Haas F1 Team,MAG,2,23.569499999999998,47.138999999999996,MEDIUM,12.5,118.864
Emilia Romagna,McLaren,NOR,2,24.367,48.734,HARD,8.5,119.6735
Emilia Romagna,Alpine,OCO,2,23.2105,46.421,MEDIUM,12.5,118.804
Emilia Romagna,Red Bull Racing,PER,2,23.187,46.374,MEDIUM,14.5,117.178
Emilia Romagna,AlphaTauri,RIC,2,23.086,46.172,MEDIUM,11.0,122.4555
Emilia Romagna,Mercedes,RUS,1,23.828,23.828,MEDIUM,22.0,122.178
Emilia Romagna,Ferrari,SAI,1,23.235,23.235,MEDIUM,11.5,122.255
Emilia Romagna,Williams,SAR,3,23.572333333333333,70.717,MEDIUM,11.333333333333334,118.28099999999999
Emilia Romagna,Aston Martin,STR,1,25.328,25.328,MEDIUM,20.0,123.672
Emilia Romagna,AlphaTauri,TSU,2,22.6865,45.373,MEDIUM,12.0,118.1195
Emilia Romagna,Red Bull Racing,VER,2,22.953,45.906,MEDIUM,15.0,116.524
Emilia Romagna,Alfa Romeo,ZHO,2,24.2265,48.453,MEDIUM,12.5,118.858
Monaco,Williams,ALB,2,25.5225,51.045,HARD,26.0,107.13300000000001
Monaco,Aston Martin,ALO,2,-38.2645,-76.529,HARD,28.5,118.47300000000001
Monaco,Alfa Romeo,BOT,1,30.374,30.374,HARD,51.0,109.586
Monaco,AlphaTauri,DEV,1,24.219,24.219,MEDIUM,53.0,118.795
Monaco,Alpine,GAS,2,26.922,53.844,HARD,27.0,107.18199999999999
Monaco,Mercedes,HAM,2,25.554000000000002,51.108000000000004,HARD,27.0,105.304
Monaco,Haas F1 Team,HUL,3,30.957666666666668,92.873,HARD,19.666666666666668,126.39933333333333
Monaco,Ferrari,LEC,2,24.9445,49.889,HARD,27.5,112.344
Monaco,Haas F1 Team,MAG,1,51.078,51.078,HARD,35.5,
Monaco,McLaren,NOR,2,29.0225,58.045,HARD,27.0,113.98849999999999
Monaco,Alpine,OCO,2,25.311500000000002,50.623000000000005,HARD,27.0,104.6075
Monaco,Red Bull Racing,PER,5,27.174799999999998,135.874,MEDIUM,14.2,116.81800000000001
Monaco,McLaren,PIA,1,25.859,25.859,HARD,54.0,131.859
Monaco,Mercedes,RUS,1,30.875,30.875,HARD,54.0,117.545
Monaco,Ferrari,SAI,2,26.6325,53.265,HARD,27.5,116.4965
Monaco,Williams,SAR,3,25.786,77.358,HARD,17.333333333333332,104.44133333333333
Monaco,Aston Martin,STR,1,24.64,24.64,HARD,52.0,104.501
Monaco,AlphaTauri,TSU,1,33.609,33.609,MEDIUM,53.0,125.687
Monaco,Red Bull Racing,VER,1,24.484,24.484,MEDIUM,55.0,130.567
Monaco,Alfa Romeo,ZHO,2,25.7815,51.563,HARD,26.0,115.39099999999999
Spain,Williams,ALB,2,23.429000000000002,46.858000000000004,HARD,18.5,86.4975
Spain,Aston Martin,ALO,2,22.57,45.14,SOFT,25.0,84.435
Spain,Alfa Romeo,BOT,2,23.898000000000003,47.79600000000001,HARD,19.5,86.551
Spain,AlphaTauri,DEV,2,22.2575,44.515,HARD,19.0,84.777
Spain,Alpine,GAS,2,23.492,46.984,MEDIUM,21.0,85.167
Spain,Mercedes,HAM,2,22.6475,45.295,MEDIUM,26.5,83.6865
Spain,Haas F1 Team,HUL,3,23.406000000000002,70.218,HARD,15.333333333333334,85.58766666666666
Spain,Ferrari,LEC,2,22.429499999999997,44.858999999999995,HARD,20.5,85.0015
Spain,Haas F1 Team,MAG,3,23.00533333333333,69.01599999999999,HARD,14.0,86.24633333333334
Spain,McLaren,NOR,3,27.520333333333337,82.561,HARD,17.333333333333332,86.89866666666667
Spain,Alpine,OCO,2,23.124499999999998,46.248999999999995,MEDIUM,19.0,84.9135
Spain,Red Bull Racing,PER,2,21.554000000000002,43.108000000000004,HARD,25.0,84.108
Spain,McLaren,PIA,2,22.5935,45.187,HARD,20.5,84.508
Spain,Mercedes,RUS,2,22.148,44.296,MEDIUM,22.5,83.8065
Spain,Ferrari,SAI,2,22.343,44.686,MEDIUM,22.0,84.6305
Spain,Williams,SAR,2,23.381999999999998,46.763999999999996,HARD,18.0,85.831
Spain,Aston Martin,STR,2,22.8435,45.687,SOFT,20.0,85.447
Spain,AlphaTauri,TSU,2,22.086,44.172,HARD,17.0,84.7315
Spain,Red Bull Racing,VER,2,22.3125,44.625,HARD,26.0,83.346
Spain,Alfa Romeo,ZHO,2,23.101,46.202,HARD,18.0,85.25649999999999
Canada,Williams,ALB,1,25.062,25.062,MEDIUM,13.0,110.487
Canada,Aston Martin,ALO,2,24.1245,48.249,HARD,20.5,96.5915
Canada,Alfa Romeo,BOT,1,24.046,24.046,HARD,36.0,94.981
Canada,AlphaTauri,DEV,2,24.461,48.922,HARD,25.0,95.25800000000001
Canada,Alpine,GAS,2,25.8045,51.609,HARD,16.5,97.63
Canada,Mercedes,HAM,2,24.0385,48.077,HARD,20.0,96.636
Canada,Haas F1 Team,HUL,2,24.5385,49.077,HARD,15.5,95.616
Canada,Ferrari,LEC,1,24.437,24.437,MEDIUM,39.0,94.031
Canada,Haas F1 Team,MAG,2,24.734,49.468,HARD,26.5,117.1645
Canada,McLaren,NOR,2,24.7025,49.405,HARD,17.5,102.5745
Canada,Alpine,OCO,2,24.0625,48.125,HARD,18.0,99.97800000000001
Canada,Red Bull Racing,PER,2,23.265,46.53,HARD,34.0,93.1075
Canada,McLaren,PIA,2,24.1405,48.281,HARD,18.5,99.744
Canada,Mercedes,RUS,1,88.998,88.998,HARD,27.0,
Canada,Ferrari,SAI,1,24.156,24.156,MEDIUM,38.0,94.125
Canada,Aston Martin,STR,2,23.781,47.562,HARD,13.5,94.6545
Canada,AlphaTauri,TSU,2,25.5775,51.155,HARD,16.5,103.673
Canada,Red Bull Racing,VER,2,23.7885,47.577,HARD,21.0,93.23249999999999
Canada,Alfa Romeo,ZHO,2,25.866500000000002,51.733000000000004,HARD,16.0,103.6785
Austria,Williams,ALB,3,22.114,66.342,MEDIUM,14.333333333333334,90.51433333333334
Austria,Aston Martin,ALO,3,20.26033333333333,60.781,HARD,15.333333333333334,94.70400000000001
Austria,Alfa Romeo,BOT,3,23.619333333333334,70.858,HARD,14.0,90.21766666666667
Austria,AlphaTauri,DEV,3,19.645666666666667,58.937,MEDIUM,13.0,90.08833333333332
Austria,Alpine,GAS,3,21.833,65.499,MEDIUM,15.333333333333334,90.64033333333333
Austria,Mercedes,HAM,3,22.015666666666664,66.047,MEDIUM,14.666666666666666,89.22266666666667
Austria,Haas F1 Team,HUL,2,19.2885,38.577,MEDIUM,9.5,95.595
Austria,Ferrari,LEC,3,20.26,60.78,MEDIUM,16.333333333333332,94.32966666666668
Austria,Haas F1 Team,MAG,3,-54.775666666666666,-164.327,HARD,11.333333333333334,113.364
Austria,McLaren,NOR,3,20.47366666666667,61.42100000000001,MEDIUM,14.333333333333334,89.766
Austria,Alpine,OCO,3,23.692333333333334,71.077,MEDIUM,14.0,92.54533333333332
Austria,Red Bull Racing,PER,3,20.125,60.375,MEDIUM,17.333333333333332,89.07133333333333
Austria,McLaren,PIA,4,23.00775,92.031,HARD,10.75,88.389
Austria,Mercedes,RUS,3,20.604,61.812,MEDIUM,14.333333333333334,91.55533333333334
Austria,Ferrari,SAI,3,23.76,71.28,MEDIUM,15.666666666666666,95.35366666666665
Austria,Williams,SAR,3,20.681333333333335,62.044000000000004,MEDIUM,15.0,93.407
Austria,Aston Martin,STR,4,21.093,84.372,HARD,14.0,90.36125
Austria,AlphaTauri,TSU,4,-3.691250000000001,-14.765000000000004,HARD,11.0,95.30425
Austria,Red Bull Racing,VER,4,20.160249999999998,80.64099999999999,MEDIUM,17.75,83.6005
Austria,Alfa Romeo,ZHO,3,21.22866666666667,63.68600000000001,MEDIUM,13.333333333333334,89.98899999999999
Britain,Williams,ALB,1,29.64,29.64,MEDIUM,32.0,96.773
Britain,Aston Martin,ALO,1,28.624,28.624,MEDIUM,34.0,123.93
Britain,Alfa Romeo,BOT,1,29.656,29.656,HARD,32.0,105.965
Britain,AlphaTauri,DEV,2,28.39,56.78,MEDIUM,16.0,101.71350000000001
Britain,Alpine,GAS,1,28.5,28.5,MEDIUM,24.5,93.391
Britain,Mercedes,HAM,1,29.155,29.155,MEDIUM,33.0,123.496
Britain,Haas F1 Team,HUL,2,36.007000000000005,72.01400000000001,HARD,16.0,104.279
Britain,Ferrari,LEC,2,28.507,57.014,HARD,16.0,94.345
Britain,McLaren,NOR,1,28.468,28.468,MEDIUM,33.0,122.83
Britain,Alpine,OCO,0,,0.0,SOFT,9.0,93.846
Britain,Red Bull Racing,PER,1,28.062,28.062,MEDIUM,28.0,92.235
Britain,McLaren,PIA,1,28.609,28.609,MEDIUM,29.0,92.563
Britain,Mercedes,RUS,1,29.499,29.499,SOFT,31.0,92.504
Britain,Ferrari,SAI,1,28.859,28.859,MEDIUM,26.0,93.181
Britain,Williams,SAR,1,28.843,28.843,MEDIUM,29.0,92.723
Britain,Aston Martin,STR,1,28.609,28.609,MEDIUM,32.0,92.933
Britain,AlphaTauri,TSU,2,28.460500000000003,56.92100000000001,HARD,16.0,100.924
Britain,Red Bull Racing,VER,1,29.047,29.047,MEDIUM,33.0,118.611
Britain,Alfa Romeo,ZHO,3,30.744,92.232,HARD,12.0,119.26633333333332
Hungary,Williams,ALB,2,21.9135,43.827,HARD,17.0,87.9425
Hungary,Aston Martin,ALO,2,23.491500000000002,46.983000000000004,HARD,25.0,87.73249999999999
Hungary,Alfa Romeo,BOT,2,22.75,45.5,HARD,24.0,88.5385
Hungary,Alpine,GAS,0,,0.0,SOFT,1.0,124.981
Hungary,Mercedes,HAM,2,21.8435,43.687,HARD,26.0,87.404
Hungary,Haas F1 Team,HUL,2,22.406,44.812,HARD,22.0,88.1045
Hungary,Ferrari,LEC,2,24.936500000000002,49.873000000000005,HARD,23.0,87.088
Hungary,Haas F1 Team,MAG,2,22.445,44.89,HARD,22.0,88.763
Hungary,McLaren,NOR,2,21.531,43.062,HARD,22.0,86.90549999999999
Hungary,Alpine,OCO,0,,0.0,MEDIUM,5.0,101.181
Hungary,Red Bull Racing,PER,2,21.39,42.78,HARD,25.5,87.3885
Hungary,McLaren,PIA,2,21.57,43.14,HARD,22.0,87.2475
Hungary,AlphaTauri,RIC,2,22.085500000000003,44.17100000000001,HARD,17.5,88.6485
Hungary,Mercedes,RUS,2,21.7495,43.499,HARD,23.0,87.355
Hungary,Ferrari,SAI,2,21.718,43.436,HARD,22.0,88.0895
Hungary,Williams,SAR,2,23.101,46.202,HARD,23.333333333333332,93.65233333333333
Hungary,Aston Martin,STR,2,22.179000000000002,44.358000000000004,HARD,19.5,88.402
Hungary,AlphaTauri,TSU,2,23.656,47.312,HARD,23.5,89.375
Hungary,Red Bull Racing,VER,2,21.515,43.03,HARD,27.0,86.6805
Hungary,Alfa Romeo,ZHO,2,26.006999999999998,52.013999999999996,HARD,23.0,88.31
Belgium,Williams,ALB,3,24.057333333333332,72.172,MEDIUM,11.0,118.51833333333333
Belgium,Aston Martin,ALO,2,23.4685,46.937,MEDIUM,14.5,118.11
Belgium,Alfa Romeo,BOT,2,23.6015,47.203,MEDIUM,12.0,119.0795
Belgium,Alpine,GAS,1,25.656,25.656,SOFT,23.0,121.28
Belgium,Mercedes,HAM,3,23.098666666666663,69.29599999999999,SOFT,14.0,116.48933333333333
Belgium,Haas F1 Team,HUL,2,24.836,49.672,MEDIUM,12.0,118.3135
Belgium,Ferrari,LEC,2,23.195,46.39,MEDIUM,14.0,116.719
Belgium,Haas F1 Team,MAG,2,23.569499999999998,47.138999999999996,MEDIUM,12.5,118.864
Belgium,McLaren,NOR,2,24.367,48.734,HARD,8.5,119.6735
Belgium,Alpine,OCO,2,23.2105,46.421,MEDIUM,12.5,118.804
Belgium,Red Bull Racing,PER,2,23.187,46.374,MEDIUM,14.5,117.178
Belgium,AlphaTauri,RIC,2,23.086,46.172,MEDIUM,11.0,122.4555
Belgium,Mercedes,RUS,1,23.828,23.828,MEDIUM,22.0,122.178
Belgium,Ferrari,SAI,1,23.235,23.235,MEDIUM,11.5,122.255
Belgium,Williams,SAR,3,23.572333333333333,70.717,MEDIUM,11.333333333333334,118.28099999999999
Belgium,Aston Martin,STR,1,25.328,25.328,MEDIUM,20.0,123.672
Belgium,AlphaTauri,TSU,2,22.6865,45.373,MEDIUM,12.0,118.1195
Belgium,Red Bull Racing,VER,2,22.953,45.906,MEDIUM,15.0,116.524
Belgium,Alfa Romeo,ZHO,2,24.2265,48.453,MEDIUM,12.5,118.858
Netherlands,Williams,ALB,4,595.747,2382.988,INTERMEDIATE,18.5,96.64033333333333
Netherlands,Aston Martin,ALO,5,508.3812,2541.906,SOFT,13.8,101.87100000000001
Netherlands,Alfa Romeo,BOT,5,471.5822,2357.911,INTERMEDIATE,12.8,99.68674999999999
Netherlands,Alpine,GAS,5,507.49699999999996,2537.4849999999997,SOFT,14.0,87.93725
Netherlands,Mercedes,HAM,5,502.28759999999994,2511.4379999999996,INTERMEDIATE,14.0,91.79025
Netherlands,Haas F1 Team,HUL,5,473.57300000000004,2367.8650000000002,INTERMEDIATE,14.2,99.879
Netherlands,AlphaTauri,LAW,7,345.6678571428571,2419.6749999999997,INTERMEDIATE,10.857142857142858,102.67933333333333
Netherlands,Ferrari,LEC,2,29.9525,59.905,SOFT,13.666666666666666,92.45166666666667
Netherlands,Haas F1 Team,MAG,6,375.4723333333333,2252.834,INTERMEDIATE,11.166666666666666,103.17519999999999
Netherlands,McLaren,NOR,6,404.21399999999994,2425.2839999999997,INTERMEDIATE,13.833333333333334,95.262
Netherlands,Alpine,OCO,6,401.9593333333333,2411.756,SOFT,10.666666666666666,100.4802
Netherlands,Red Bull Racing,PER,6,408.27150000000006,2449.6290000000004,INTERMEDIATE,12.833333333333334,91.1396
Netherlands,McLaren,PIA,5,478.451,2392.255,INTERMEDIATE,14.6,93.12899999999999
Netherlands,Mercedes,RUS,7,350.2684285714286,2451.8790000000004,INTERMEDIATE,12.857142857142858,102.447
Netherlands,Ferrari,SAI,5,504.5723999999999,2522.8619999999996,SOFT,16.2,90.76325
Netherlands,Aston Martin,STR,7,343.69728571428567,2405.881,INTERMEDIATE,10.571428571428571,102.73433333333332
Netherlands,AlphaTauri,TSU,5,476.2165999999999,2381.0829999999996,INTERMEDIATE,15.8,103.96674999999999
Netherlands,Red Bull Racing,VER,6,-4.343833333333333,-26.063000000000002,SOFT,12.833333333333334,99.63100000000001
Netherlands,Alfa Romeo,ZHO,4,21.28075,85.123,SOFT,15.0,89.61500000000001
Italy,Williams,ALB,1,24.343,24.343,MEDIUM,18.0,92.301
Italy,Aston Martin,ALO,1,24.828,24.828,MEDIUM,21.0,92.377
Italy,Alfa Romeo,BOT,1,24.656,24.656,HARD,28.0,92.814
Italy,Alpine,GAS,2,26.0235,52.047,HARD,17.0,92.119
Italy,Mercedes,HAM,1,24.234,24.234,HARD,30.0,93.228
Italy,Haas F1 Team,HUL,2,25.203,50.406,HARD,23.5,92.582
Italy,AlphaTauri,LAW,2,24.3435,48.687,HARD,19.5,91.94800000000001
Italy,Ferrari,LEC,1,23.89,23.89,MEDIUM,20.0,91.155
Italy,Haas F1 Team,MAG,2,24.734499999999997,49.468999999999994,HARD,18.5,93.21549999999999
Italy,McLaren,NOR,1,23.703,23.703,MEDIUM,22.0,91.647
Italy,Alpine,OCO,1,24.235,24.235,HARD,21.0,100.0515
Italy,Red Bull Racing,PER,1,23.843,23.843,MEDIUM,21.0,90.934
Italy,McLaren,PIA,2,27.9685,55.937,HARD,23.0,93.193
Italy,Mercedes,RUS,1,24.141,24.141,MEDIUM,19.0,91.885
Italy,Ferrari,SAI,1,25.172,25.172,MEDIUM,19.0,91.912
Italy,Williams,SAR,1,24.703,24.703,MEDIUM,17.0,93.074
Italy,Aston Martin,STR,1,25.687,25.687,MEDIUM,20.0,93.026
Italy,Red Bull Racing,VER,1,24.281,24.281,MEDIUM,20.0,90.849
Italy,Alfa Romeo,ZHO,2,25.156,50.312,HARD,18.0,92.1195
Singapore,Williams,ALB,2,29.953,59.906,HARD,21.5,124.764
Singapore,Aston Martin,ALO,2,41.6165,83.233,HARD,22.0,134.53
Singapore,Alfa Romeo,BOT,1,30.5,30.5,HARD,40.0,110.101
Singapore,Alpine,GAS,1,31.797,31.797,MEDIUM,20.0,128.721
Singapore,Mercedes,HAM,2,33.085499999999996,66.17099999999999,HARD,22.0,133.7655
Singapore,Haas F1 Team,HUL,1,35.484,35.484,MEDIUM,20.0,128.679
Singapore,AlphaTauri,LAW,1,32.328,32.328,MEDIUM,20.0,128.455
Singapore,Ferrari,LEC,1,32.891,32.891,SOFT,23.0,121.624
Singapore,Haas F1 Team,MAG,2,32.195,64.39,HARD,21.5,126.269
Singapore,McLaren,NOR,1,29.469,29.469,MEDIUM,20.0,121.158
Singapore,Alpine,OCO,1,29.734,29.734,MEDIUM,20.0,125.887
Singapore,Red Bull Racing,PER,1,28.984,28.984,HARD,39.0,113.087
Singapore,McLaren,PIA,1,29.265,29.265,MEDIUM,20.0,128.998
Singapore,Mercedes,RUS,2,30.008000000000003,60.016000000000005,HARD,22.0,132.64600000000002
Singapore,Ferrari,SAI,1,29.531,29.531,MEDIUM,20.0,116.824
Singapore,Williams,SAR,2,47.265,94.53,HARD,21.5,139.0265
Singapore,Red Bull Racing,VER,1,29.671,29.671,HARD,40.0,108.808
Singapore,Alfa Romeo,ZHO,2,30.3435,60.687,HARD,10.0,123.33149999999999
Japan,Williams,ALB,2,51.0385,102.077,MEDIUM,8.666666666666666,121.73199999999999
Japan,Aston Martin,ALO,2,24.078,48.156,HARD,14.0,103.0
Japan,Alfa Romeo,BOT,3,1.401000000000001,4.203000000000003,SOFT,2.3333333333333335,140.743
Japan,Alpine,GAS,2,24.4755,48.951,HARD,17.0,102.163
Japan,Mercedes,HAM,2,24.1875,48.375,HARD,17.0,102.32300000000001
Japan,Haas F1 Team,HUL,3,23.463000000000005,70.38900000000001,HARD,12.333333333333334,102.18599999999999
Japan,AlphaTauri,LAW,2,23.304499999999997,46.608999999999995,MEDIUM,12.5,102.643
Japan,Ferrari,LEC,2,22.9445,45.889,MEDIUM,17.0,101.477
Japan,Haas F1 Team,MAG,2,23.7495,47.499,HARD,15.5,112.72
Japan,McLaren,NOR,2,23.366500000000002,46.733000000000004,HARD,18.0,100.673
Japan,Alpine,OCO,2,25.3435,50.687,HARD,14.0,132.357
Japan,Red Bull Racing,PER,5,-59.5336,-297.668,SOFT,5.4,126.78999999999999
Japan,McLaren,PIA,2,23.7335,47.467,HARD,17.5,100.98750000000001
